PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed
2,2026/3/23,2,1,香西,Left,8,Right,1,0,0,Splitter,FoulBallFieldable,,,121
3,2026/3/23,2,2,香西,Left,8,Right,1,0,1,Fastball,FoulBallFieldable,,,136
4,2026/3/23,2,3,香西,Left,8,Right,1,0,2,Fastball,BallCalled,,,137
5,2026/3/23,2,4,香西,Left,8,Right,1,1,2,Fastball,FoulBallFieldable,,,134
6,2026/3/23,2,5,香西,Left,8,Right,1,1,2,Splitter,StrikeSwinging,Strikeout,,127
7,2026/3/23,3,1,香西,Left,9,Right,2,0,0,Fastball,BallCalled,,,136
8,2026/3/23,3,2,香西,Left,9,Right,2,1,0,Fastball,BallCalled,,,137
9,2026/3/23,3,3,香西,Left,9,Right,2,2,0,Fastball,StrikeCalled,,,138
10,2026/3/23,3,4,香西,Left,9,Right,2,2,1,Fastball,FoulBallFieldable,,,136
11,2026/3/23,3,5,香西,Left,9,Right,2,2,2,Fastball,FoulBallFieldable,,,
12,2026/3/23,3,6,香西,Left,9,Right,2,2,2,Splitter,InPlay,Single,FlyBall,126
13,2026/3/23,4,1,香西,Left,1,Right,2,0,0,Splitter,BallCalled,,,131
14,2026/3/23,4,2,香西,Left,1,Right,2,1,0,Fastball,StrikeSwinging,,,
15,2026/3/23,4,3,香西,Left,1,Right,2,1,1,Fastball,FoulBallFieldable,,,
16,2026/3/23,4,4,香西,Left,1,Right,2,1,2,Splitter,BallCalled,,,
17,2026/3/23,4,5,香西,Left,1,Right,2,2,2,Fastball,InPlay,Out,GroundBall,134
