PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
1,2026/2/14,1,1,石島,Right,"Mito, souta",Left,0,0,0,Fastball,InPlay,Single,GroundBall,133,
2,2026/2/14,2,1,石島,Right,"Yamane, Juntaro",Right,0,0,0,Fastball,FoulBallFieldable,,,129,1
3,2026/2/14,2,2,石島,Right,"Yamane, Juntaro",Right,0,0,1,Fastball,InPlay,Sacrifice,,130,1
4,2026/2/14,3,1,石島,Right,"Okanishi, Yuya",Left,1,0,0,Fastball,StrikeCalled,,,131,2
5,2026/2/14,3,2,石島,Right,"Okanishi, Yuya",Left,1,0,1,Splitter,FoulBallFieldable,,,125,2
6,2026/2/14,3,3,石島,Right,"Okanishi, Yuya",Left,1,0,2,Fastball,FoulBallFieldable,,,135,2
7,2026/2/14,3,4,石島,Right,"Okanishi, Yuya",Left,1,0,2,Splitter,BallCalled,,,126,2
8,2026/2/14,3,5,石島,Right,"Okanishi, Yuya",Left,1,1,2,Fastball,InPlay,Out,FlyBall,137,2
9,2026/2/14,4,1,石島,Right,"Terao, Kensei",Right,2,0,0,Splitter,BallCalled,,,126,2
10,2026/2/14,4,2,石島,Right,"Terao, Kensei",Right,2,1,0,Splitter,BallCalled,,,124,2
11,2026/2/14,4,3,石島,Right,"Terao, Kensei",Right,2,2,0,Fastball,FoulBallFieldable,,,134,2
12,2026/2/14,4,4,石島,Right,"Terao, Kensei",Right,2,2,1,Splitter,StrikeCalled,,,124,
13,2026/2/14,4,5,石島,Right,"Terao, Kensei",Right,2,2,2,Fastball,FoulBallFieldable,,,136,
14,2026/2/14,4,6,石島,Right,"Terao, Kensei",Right,2,2,2,Splitter,FoulBallFieldable,,,123,
15,2026/2/14,4,7,石島,Right,"Terao, Kensei",Right,2,2,2,Splitter,InPlay,Single,GroundBall,124,
16,2026/2/14,5,1,石島,Right,"Tokumaru, Kaisei",Left,2,0,0,Fastball,StrikeCalled,,,131,2
17,2026/2/14,5,2,石島,Right,"Tokumaru, Kaisei",Left,2,0,1,Fastball,InPlay,Out,GroundBall,131,2
18,2026/2/14,1,1,石島,Right,"Takahashi, Hiroto",Right,0,0,0,Fastball,BallCalled,,,133,
19,2026/2/14,1,2,石島,Right,"Takahashi, Hiroto",Right,0,1,0,Fastball,InPlay,Error,GroundBall,133,
20,2026/2/14,2,1,石島,Right,"Ogata, Mikito",Left,0,0,0,Fastball,InPlay,Sacrifice,,133,1
21,2026/2/14,3,1,石島,Right,"Ouchi, Aoma",Left,1,0,0,Splitter,BallCalled,,,124,2
22,2026/2/14,3,2,石島,Right,"Ouchi, Aoma",Left,1,1,0,Fastball,StrikeCalled,,,136,2
23,2026/2/14,3,3,石島,Right,"Ouchi, Aoma",Left,1,1,1,Fastball,BallCalled,,,135,2
24,2026/2/14,3,4,石島,Right,"Ouchi, Aoma",Left,1,2,1,Splitter,BallCalled,,,126,2
25,2026/2/14,3,5,石島,Right,"Ouchi, Aoma",Left,1,3,1,Fastball,BallCalled,Undefined,,134,2
26,2026/2/14,4,1,石島,Right,"Yamane, Juntaro",Right,1,0,0,Splitter,BallCalled,,,125,1.2
27,2026/2/14,4,2,石島,Right,"Yamane, Juntaro",Right,1,1,0,Fastball,BallCalled,,,134,1.2
28,2026/2/14,4,3,石島,Right,"Yamane, Juntaro",Right,1,2,0,Fastball,InPlay,Triple,LineDrive,134,1.2
29,2026/2/14,5,1,石島,Right,"Ogata, Mikito",Left,1,0,0,Fastball,BallCalled,,,132,
30,2026/2/14,5,2,石島,Right,"Ouchi, Aoma",Left,1,1,0,Fastball,BallCalled,,,134,1.3
31,2026/2/14,5,3,石島,Right,"Ouchi, Aoma",Left,1,2,0,Fastball,BallCalled,,,135,1.3
32,2026/2/14,5,4,石島,Right,"Ouchi, Aoma",Left,1,3,0,Fastball,StrikeCalled,,,133,1.3
33,2026/2/14,5,5,石島,Right,"Ouchi, Aoma",Left,1,3,1,Splitter,BallCalled,Undefined,,126,1.3
34,2026/2/14,6,1,石島,Right,"Ouchi, Aoma",Left,1,0,0,Splitter,StrikeCalled,,,127,1.3
35,2026/2/14,6,2,石島,Right,"Ouchi, Aoma",Left,1,0,1,Fastball,FoulBallFieldable,,,133,1.3
36,2026/2/14,6,3,石島,Right,"Ouchi, Aoma",Left,1,0,2,Fastball,InPlay,Out,GroundBall,135,1.3
37,2026/2/14,7,1,石島,Right,"Ogata, Mikito",Left,0,0,0,Splitter,BallCalled,,,125,
38,2026/2/14,7,2,石島,Right,"Ogata, Mikito",Left,0,1,0,Fastball,FoulBallFieldable,,,134,
39,2026/2/14,7,3,石島,Right,"Ogata, Mikito",Left,0,1,1,Fastball,StrikeCalled,,,135,
40,2026/2/14,7,4,石島,Right,"Ogata, Mikito",Left,0,1,2,Fastball,InPlay,Out,GroundBall,132,
1,2026/2/14,1,1,西山,Right,"Mito, souta",Left,0,0,0,Curveball,StrikeCalled,,,105,
2,2026/2/14,1,2,西山,Right,"Mito, souta",Left,0,0,1,Fastball,BallCalled,,,135,
3,2026/2/14,1,3,西山,Right,"Mito, souta",Left,0,1,1,Fastball,InPlay,Out,GroundBall,132,
4,2026/2/14,2,1,西山,Right,"Yamane, Juntaro",Right,1,0,0,Fastball,StrikeCalled,,,135,
5,2026/2/14,2,2,西山,Right,"Yamane, Juntaro",Right,1,0,1,Fastball,BallCalled,,,110,
6,2026/2/14,2,3,西山,Right,"Yamane, Juntaro",Right,1,1,1,Slider,StrikeSwinging,,,114,
7,2026/2/14,2,4,西山,Right,"Yamane, Juntaro",Right,1,1,2,Fastball,InPlay,Out,LineDrive,136,
8,2026/2/14,3,1,西山,Right,"Okanishi, Yuya",Left,2,0,0,ChangeUp,BallCalled,,,118,
9,2026/2/14,3,2,西山,Right,"Okanishi, Yuya",Left,2,1,0,Fastball,StrikeCalled,,,134,
10,2026/2/14,3,3,西山,Right,"Okanishi, Yuya",Left,2,1,1,Curveball,InPlay,Out,FlyBall,107,
11,2026/2/14,1,1,西山,Right,"Terao, Kensei",Right,0,0,0,Fastball,BallCalled,,,140,
12,2026/2/14,1,2,西山,Right,"Terao, Kensei",Right,0,1,0,Slider,BallCalled,,,114,
13,2026/2/14,1,3,西山,Right,"Terao, Kensei",Right,0,2,0,Fastball,BallCalled,,,134,
14,2026/2/14,1,4,西山,Right,"Terao, Kensei",Right,0,3,0,Fastball,StrikeCalled,,,135,
15,2026/2/14,1,5,西山,Right,"Terao, Kensei",Right,0,3,1,Fastball,BallCalled,Undefined,,139,
16,2026/2/14,2,1,西山,Right,"Tokumaru, Kaisei",Left,0,0,0,Fastball,StrikeCalled,,,131,1
17,2026/2/14,2,2,西山,Right,"Tokumaru, Kaisei",Left,0,0,1,Slider,BallCalled,,,114,1
18,2026/2/14,2,3,西山,Right,"Tokumaru, Kaisei",Left,0,1,1,Fastball,InPlay,Sacrifice,,130,1
19,2026/2/14,3,1,西山,Right,"Takahashi, Hiroto",Right,1,0,0,Slider,BallCalled,,,112,2
20,2026/2/14,3,2,西山,Right,"Takahashi, Hiroto",Right,1,1,0,Fastball,BallCalled,,,130,2
21,2026/2/14,3,3,西山,Right,"Takahashi, Hiroto",Right,1,2,0,Fastball,InPlay,Triple,FlyBall,131,2
22,2026/2/14,4,1,西山,Right,"Ogata, Mikito",Left,1,0,0,Fastball,BallCalled,,,134,
23,2026/2/14,4,2,西山,Right,"Ogata, Mikito",Left,1,1,0,Fastball,StrikeCalled,,,137,
24,2026/2/14,4,3,西山,Right,"Ogata, Mikito",Left,1,1,1,Slider,BallCalled,,,117,
25,2026/2/14,4,4,西山,Right,"Ogata, Mikito",Left,1,2,1,Fastball,InPlay,Single,LineDrive,141,
26,2026/2/14,5,1,西山,Right,"Ouchi, Aoma",Left,1,0,0,Fastball,BallCalled,,,136,1
27,2026/2/14,5,2,西山,Right,"Ouchi, Aoma",Left,1,1,0,Fastball,InPlay,Single,LineDrive,133,1
28,2026/2/14,6,1,西山,Right,"Terao, Kensei",Right,1,0,0,Curveball,BallCalled,,,115,1.2
29,2026/2/14,6,2,西山,Right,"Terao, Kensei",Right,1,1,0,Fastball,InPlay,HomeRun,FlyBall,133,1.2
30,2026/2/14,7,1,西山,Right,"Tokumaru, Kaisei",Left,1,0,0,Curveball,BallCalled,,,108,
31,2026/2/14,7,2,西山,Right,"Tokumaru, Kaisei",Left,1,1,0,Fastball,InPlay,Out,GroundBall,136,
1,2026/2/14,1,1,山田翔,Left,"Nakamura, Shunei",Left,0,0,0,Fastball,StrikeSwinging,,,132,
2,2026/2/14,1,2,山田翔,Left,"Nakamura, Shunei",Left,0,0,1,Slider,FoulBallFieldable,,,117,
3,2026/2/14,1,3,山田翔,Left,"Nakamura, Shunei",Left,0,0,2,Slider,StrikeSwinging,Strikeout,,122,
4,2026/2/14,2,1,山田翔,Left,"Yuasa, Ousuke",Right,1,0,0,Fastball,BallCalled,,,133,
5,2026/2/14,2,2,山田翔,Left,"Yuasa, Ousuke",Right,1,1,0,Fastball,StrikeCalled,,,131,
6,2026/2/14,2,3,山田翔,Left,"Yuasa, Ousuke",Right,1,1,1,Fastball,BallCalled,,,132,
7,2026/2/14,2,4,山田翔,Left,"Yuasa, Ousuke",Right,1,2,1,Fastball,StrikeCalled,,,133,
8,2026/2/14,2,5,山田翔,Left,"Yuasa, Ousuke",Right,1,2,2,Curveball,BallCalled,,,111,
9,2026/2/14,2,6,山田翔,Left,"Yuasa, Ousuke",Right,1,3,2,Slider,InPlay,Out,GroundBall,133,
10,2026/2/14,3,1,山田翔,Left,"Sato, Kanya",Left,2,0,0,Curveball,StrikeCalled,,,108,
11,2026/2/14,3,2,山田翔,Left,"Sato, Kanya",Left,2,0,1,Slider,FoulBallFieldable,,,118,
12,2026/2/14,3,3,山田翔,Left,"Sato, Kanya",Left,2,0,2,Slider,BallCalled,,,120,
13,2026/2/14,3,4,山田翔,Left,"Sato, Kanya",Left,2,1,2,Fastball,BallCalled,,,133,
14,2026/2/14,3,5,山田翔,Left,"Sato, Kanya",Left,2,2,2,Fastball,StrikeSwinging,Strikeout,,135,
15,2026/2/14,1,1,山田翔,Left,"Fukumoto, Seiya",Left,0,0,0,Fastball,StrikeCalled,,,134,
16,2026/2/14,1,2,山田翔,Left,"Fukumoto, Seiya",Left,0,0,1,Curveball,BallCalled,,,109,
17,2026/2/14,1,3,山田翔,Left,"Fukumoto, Seiya",Left,0,1,1,Fastball,StrikeCalled,,,133,
18,2026/2/14,1,4,山田翔,Left,"Fukumoto, Seiya",Left,0,1,2,Slider,StrikeCalled,Strikeout,,119,
19,2026/2/14,2,1,山田翔,Left,"Nagata, Hyuga",Right,1,0,0,Fastball,FoulBallFieldable,,,134,
20,2026/2/14,2,2,山田翔,Left,"Nagata, Hyuga",Right,1,0,1,Slider,BallCalled,,,120,
21,2026/2/14,2,3,山田翔,Left,"Nagata, Hyuga",Right,1,1,1,Fastball,FoulBallFieldable,,,132,
22,2026/2/14,2,4,山田翔,Left,"Nagata, Hyuga",Right,1,1,2,Curveball,InPlay,Out,GroundBall,109,
23,2026/2/14,3,1,山田翔,Left,"Izakura, Yuto",Left,2,0,0,Curveball,BallCalled,,,109,
24,2026/2/14,3,2,山田翔,Left,"Izakura, Yuto",Left,2,1,0,Fastball,BallCalled,,,131,
25,2026/2/14,3,3,山田翔,Left,"Izakura, Yuto",Left,2,2,0,Fastball,InPlay,Out,LineDrive,130,
26,2026/2/14,1,1,山田翔,Left,"Sakaguchi, Yuta",Right,0,0,0,Fastball,StrikeCalled,,,131,
27,2026/2/14,1,2,山田翔,Left,"Sakaguchi, Yuta",Right,0,0,1,Fastball,InPlay,Single,GroundBall,133,
28,2026/2/14,2,1,山田翔,Left,"Kaneko, Daichi",Right,0,0,0,Fastball,FoulBallFieldable,,,131,1
29,2026/2/14,2,2,山田翔,Left,"Kaneko, Daichi",Right,0,0,1,Fastball,InPlay,Sacrifice,,128,2
30,2026/2/14,3,3,山田翔,Left,"Kaneko, Daichi",Right,1,0,0,Fastball,BallCalled,,,129,2
31,2026/2/14,3,4,山田翔,Left,"Kaneko, Daichi",Right,1,1,0,Fastball,BallCalled,,,126,2
32,2026/2/14,3,5,山田翔,Left,"Kaneko, Daichi",Right,1,2,0,Fastball,BallCalled,,,130,2
33,2026/2/14,3,6,山田翔,Left,"Kaneko, Daichi",Right,1,3,0,Fastball,StrikeCalled,,,127,2
34,2026/2/14,3,7,山田翔,Left,"Kaneko, Daichi",Right,1,3,1,Fastball,BallCalled,Undefined,,128,2
35,2026/2/14,4,8,山田翔,Left,"Kaneko, Daichi",Right,1,0,0,Fastball,FoulBallFieldable,,,129,2
36,2026/2/14,4,9,山田翔,Left,"Kaneko, Daichi",Right,1,0,1,Fastball,InPlay,Error,GroundBall,130,2
1,2026/2/14,1,1,山﨑,Right,"Nakamura, Shunei",Left,0,0,0,Fastball,BallCalled,,,136,
2,2026/2/14,1,2,山﨑,Right,"Nakamura, Shunei",Left,0,1,0,Fastball,FoulBallFieldable,,,136,
3,2026/2/14,1,3,山﨑,Right,"Nakamura, Shunei",Left,0,1,1,Curveball,FoulBallFieldable,,,104,
4,2026/2/14,1,4,山﨑,Right,"Nakamura, Shunei",Left,0,1,2,Curveball,BallCalled,,,104,
5,2026/2/14,1,5,山﨑,Right,"Nakamura, Shunei",Left,0,2,2,Fastball,BallCalled,,,138,
6,2026/2/14,1,6,山﨑,Right,"Nakamura, Shunei",Left,0,3,2,Fastball,StrikeCalled,Strikeout,,138,
7,2026/2/14,2,1,山﨑,Right,"Yuasa, Ousuke",Right,1,0,0,Slider,BallCalled,,,118,
8,2026/2/14,2,2,山﨑,Right,"Yuasa, Ousuke",Right,1,1,0,Fastball,BallCalled,,,134,
9,2026/2/14,2,3,山﨑,Right,"Yuasa, Ousuke",Right,1,2,0,Fastball,BallCalled,,,136,
10,2026/2/14,2,4,山﨑,Right,"Yuasa, Ousuke",Right,1,3,0,Fastball,StrikeCalled,,,136,
11,2026/2/14,2,5,山﨑,Right,"Yuasa, Ousuke",Right,1,3,1,Fastball,StrikeCalled,,,138,
12,2026/2/14,2,6,山﨑,Right,"Yuasa, Ousuke",Right,1,3,2,Fastball,BallCalled,Undefined,,134,
13,2026/2/14,3,1,山﨑,Right,"Sato, Kanya",Left,1,0,0,Fastball,BallCalled,,,137,1
14,2026/2/14,3,2,山﨑,Right,"Sato, Kanya",Left,1,1,0,Fastball,StrikeSwinging,,,137,1
15,2026/2/14,3,3,山﨑,Right,"Sato, Kanya",Left,1,1,1,Curveball,BallCalled,,,99,2
16,2026/2/14,3,4,山﨑,Right,"Sato, Kanya",Left,1,2,1,Fastball,InPlay,Out,FlyBall,133,2
17,2026/2/14,4,1,山﨑,Right,"Kurosu, Shintaro",Right,2,0,0,Fastball,BallCalled,,,137,2
18,2026/2/14,4,2,山﨑,Right,"Kurosu, Shintaro",Right,2,1,0,Fastball,InPlay,Out,GroundBall,134,2
19,2026/2/14,1,1,山﨑,Right,"Hosotani, Shunsuke",Left,0,0,0,Slider,BallCalled,,,113,
20,2026/2/14,1,2,山﨑,Right,"Hosotani, Shunsuke",Left,0,1,0,Fastball,BallCalled,,,137,
21,2026/2/14,1,3,山﨑,Right,"Hosotani, Shunsuke",Left,0,2,0,Fastball,InPlay,Out,GroundBall,134,
22,2026/2/14,2,1,山﨑,Right,"Komuro, Souta",Right,1,0,0,Fastball,BallCalled,,,136,
23,2026/2/14,2,2,山﨑,Right,"Komuro, Souta",Right,1,1,0,Fastball,BallCalled,,,136,
24,2026/2/14,2,3,山﨑,Right,"Komuro, Souta",Right,1,2,0,Fastball,BallCalled,,,135,
25,2026/2/14,2,4,山﨑,Right,"Komuro, Souta",Right,1,3,0,Fastball,StrikeCalled,,,132,
26,2026/2/14,2,5,山﨑,Right,"Komuro, Souta",Right,1,3,1,Fastball,FoulBallFieldable,,,135,
27,2026/2/14,2,6,山﨑,Right,"Komuro, Souta",Right,1,3,2,Fastball,StrikeSwinging,Strikeout,,139,
28,2026/2/14,3,1,山﨑,Right,"Kawajiri, Yuito",Right,2,0,0,Fastball,FoulBallFieldable,,,135,
29,2026/2/14,3,2,山﨑,Right,"Kawajiri, Yuito",Right,2,0,1,Slider,BallCalled,HitByPitch,,114,
30,2026/2/14,4,1,山﨑,Right,"Okoshi, Rui",Right,2,0,0,Fastball,StrikeCalled,,,134,1
31,2026/2/14,4,2,山﨑,Right,"Okoshi, Rui",Right,2,0,1,Fastball,InPlay,Out,GroundBall,136,1
32,2026/2/14,1,1,山﨑,Right,"Yuasa, Ousuke",Right,0,0,0,Fastball,StrikeCalled,,,135,
33,2026/2/14,1,2,山﨑,Right,"Yuasa, Ousuke",Right,0,0,1,Fastball,InPlay,Double,FlyBall,136,
34,2026/2/14,2,1,山﨑,Right,"Kawajiri, Yuito",Right,0,0,0,Fastball,BallCalled,,,131,2
35,2026/2/14,2,2,山﨑,Right,"Kawajiri, Yuito",Right,0,1,0,Fastball,InPlay,Out,,132,2
