PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
1,2026/2/18,1,1,松本宗,Right,"Tokumaru, Kaisei",Left,0,0,0,Fastball,FoulBallFieldable,,,137,
2,2026/2/18,1,2,松本宗,Right,"Tokumaru, Kaisei",Left,0,0,1,Fastball,FoulBallFieldable,,,138,
3,2026/2/18,1,3,松本宗,Right,"Tokumaru, Kaisei",Left,0,0,2,Splitter,BallCalled,,,120,
4,2026/2/18,1,4,松本宗,Right,"Tokumaru, Kaisei",Left,0,1,2,Cutter,FoulBallFieldable,,,126,
5,2026/2/18,1,5,松本宗,Right,"Tokumaru, Kaisei",Left,0,1,2,Fastball,InPlay,Out,GroundBall,140,
6,2026/2/18,2,1,松本宗,Right,"Yamane, Juntaro",Right,1,0,0,Cutter,StrikeCalled,,,128,
7,2026/2/18,2,2,松本宗,Right,"Yamane, Juntaro",Right,1,0,1,Cutter,BallCalled,,,124,
8,2026/2/18,2,3,松本宗,Right,"Yamane, Juntaro",Right,1,1,1,Cutter,StrikeCalled,,,123,
9,2026/2/18,2,4,松本宗,Right,"Yamane, Juntaro",Right,1,1,2,Fastball,InPlay,Out,GroundBall,139,
10,2026/2/18,3,1,松本宗,Right,"Okanishi, Yuya",Left,2,0,0,Splitter,BallCalled,,,121,
11,2026/2/18,3,2,松本宗,Right,"Okanishi, Yuya",Left,2,1,0,Cutter,InPlay,Out,FlyBall,124,
12,2026/2/18,1,1,松本宗,Right,"Terao, Kensei",Right,0,0,0,Cutter,StrikeCalled,,,124,
13,2026/2/18,1,2,松本宗,Right,"Terao, Kensei",Right,0,0,1,Cutter,BallCalled,,,118,
14,2026/2/18,1,3,松本宗,Right,"Terao, Kensei",Right,0,1,1,Cutter,InPlay,Out,FlyBall,124,
15,2026/2/18,2,1,松本宗,Right,"Takahashi, Hiroto",Right,1,0,0,Fastball,StrikeCalled,,,139,
16,2026/2/18,2,2,松本宗,Right,"Takahashi, Hiroto",Right,1,0,1,Cutter,StrikeCalled,,,121,
17,2026/2/18,2,3,松本宗,Right,"Takahashi, Hiroto",Right,1,0,2,Slider,StrikeSwinging,Strikeout,,119,
18,2026/2/18,3,1,松本宗,Right,"Ogata, Mikito",Left,2,0,0,Fastball,BallCalled,,,139,
19,2026/2/18,3,2,松本宗,Right,"Ogata, Mikito",Left,2,1,0,Fastball,StrikeCalled,,,136,
20,2026/2/18,3,3,松本宗,Right,"Ogata, Mikito",Left,2,1,1,Cutter,StrikeCalled,,,125,
21,2026/2/18,3,4,松本宗,Right,"Ogata, Mikito",Left,2,1,2,Splitter,StrikeSwinging,Strikeout,,121,
22,2026/2/18,1,1,松本宗,Right,"Kaneko, Daichi",Right,0,0,0,Cutter,BallCalled,,,125,
23,2026/2/18,1,2,松本宗,Right,"Kaneko, Daichi",Right,0,1,0,Cutter,StrikeCalled,,,123,
24,2026/2/18,1,3,松本宗,Right,"Kaneko, Daichi",Right,0,1,1,Fastball,FoulBallFieldable,,,137,
25,2026/2/18,1,4,松本宗,Right,"Kaneko, Daichi",Right,0,1,2,Splitter,BallCalled,,,121,
26,2026/2/18,1,5,松本宗,Right,"Kaneko, Daichi",Right,0,2,2,Fastball,FoulBallFieldable,,,139,
27,2026/2/18,1,6,松本宗,Right,"Kaneko, Daichi",Right,0,2,2,Cutter,FoulBallFieldable,,,125,
28,2026/2/18,1,7,松本宗,Right,"Kaneko, Daichi",Right,0,2,2,Fastball,StrikeSwinging,Strikeout,,138,
29,2026/2/18,2,1,松本宗,Right,"Ouchi, Aoma",Left,1,0,0,Cutter,StrikeCalled,,,119,
30,2026/2/18,2,2,松本宗,Right,"Ouchi, Aoma",Left,1,0,1,Fastball,BallCalled,,,139,
31,2026/2/18,2,3,松本宗,Right,"Ouchi, Aoma",Left,1,1,1,Fastball,FoulBallFieldable,,,137,
32,2026/2/18,2,4,松本宗,Right,"Ouchi, Aoma",Left,1,1,2,Fastball,FoulBallFieldable,,,140,
33,2026/2/18,2,5,松本宗,Right,"Ouchi, Aoma",Left,1,1,2,Splitter,InPlay,Out,GroundBall,122,
34,2026/2/18,3,1,松本宗,Right,"Kurosu, Shintaro",Left,2,0,0,Fastball,StrikeCalled,,,138,
35,2026/2/18,3,2,松本宗,Right,"Kurosu, Shintaro",Left,2,0,1,Cutter,FoulBallFieldable,,,126,
36,2026/2/18,3,3,松本宗,Right,"Kurosu, Shintaro",Left,2,0,2,Splitter,StrikeCalled,Strikeout,,121,
37,2026/2/18,1,1,松本宗,Right,"Okoshi, Rui",Right,0,0,0,Cutter,InPlay,Single,LineDrive,125,
1,2026/2/18,1,1,山田翔,Left,"Tokumaru, Kaisei",Left,0,0,0,Fastball,StrikeCalled,,,130,
