Game Hit,Hit Created At,Hit ID,ExitSpeed (KMH),Angle,Direction,SpinRate,Distance (Meters),Spin Direction,ContactPositionX (CM),ContactPositionY (CM),Left Hand Total Spin,Left Hand Spin Direction,Right Hand Total Spin,Right Hand Spin Direction,Hitter First Name,Hitter Last Name,Device Serial Number,Flagged
84,02-07-2026 02:32,1770431521,128.7,21,19,0,70,1:40,0,0,2101,1:40,2101,1:40,山根,Asahi,MTD-22119CB2427,FALSE
83,02-07-2026 02:31,1770431511,116.1,25,12,0,66,1:16,0,0,2695,1:16,2695,1:16,山根,Asahi,MTD-22119CB2427,FALSE
82,02-07-2026 02:31,1770431502,134.3,14,12,0,60,1:54,0,0,2714,1:54,2714,1:54,山根,Asahi,MTD-22119CB2427,FALSE
81,02-07-2026 02:31,1770431494,127.5,15,3,0,58,1:28,0,0,791,1:28,791,1:28,山根,Asahi,MTD-22119CB2427,FALSE
80,02-07-2026 02:31,1770431486,119.8,16,0,0,58,1:08,0,0,2952,1:08,2952,1:08,山根,Asahi,MTD-22119CB2427,FALSE
79,02-07-2026 02:31,1770431462,117.1,30,-1,0,73,12:26,0,0,1034,12:26,1034,12:26,山根,Asahi,MTD-22119CB2427,FALSE
78,02-07-2026 02:30,1770431449,115.5,23,-4,0,63,12:22,0,0,2355,12:22,2355,12:22,山根,Asahi,MTD-22119CB2427,FALSE
77,02-07-2026 02:30,1770431441,128.3,18,9,0,64,1:34,0,0,2984,1:34,2984,1:34,山根,Asahi,MTD-22119CB2427,FALSE
76,02-07-2026 02:30,1770431426,117.4,1,10,0,18,3:20,0,0,1096,3:20,1096,3:20,山根,Asahi,MTD-22119CB2427,FALSE
75,02-07-2026 02:29,1770431350,141.1,16,0,0,70,1:06,0,0,1669,1:06,1669,1:06,福元,Taichi,MTD-22119CB2427,FALSE
74,02-07-2026 02:28,1770431316,115,29,-32,0,70,10:28,0,0,3491,10:28,3491,10:28,福元,Taichi,MTD-22119CB2427,FALSE
73,02-07-2026 02:27,1770431270,147.7,25,25,0,94,1:38,0,0,1595,1:38,1595,1:38,福元,Taichi,MTD-22119CB2427,FALSE
72,02-07-2026 02:27,1770431239,150.4,21,19,0,90,1:40,0,0,3229,1:40,3229,1:40,福元,Taichi,MTD-22119CB2427,FALSE
71,02-07-2026 02:27,1770431231,121.1,23,2,0,68,12:56,0,0,3085,12:56,3085,12:56,湯浅,Unknown,MTD-22119CB2427,FALSE
70,02-07-2026 02:26,1770431200,136.7,-1,-4,0,14,5:12,0,0,2320,5:12,2320,5:12,湯浅,Unknown,MTD-22119CB2427,FALSE
69,02-07-2026 02:25,1770431153,129.7,9,6,0,43,2:16,0,0,1178,2:16,1178,2:16,湯浅,Unknown,MTD-22119CB2427,FALSE
68,02-07-2026 02:25,1770431144,131.5,9,-9,0,47,11:38,0,0,2426,11:38,2426,11:38,湯浅,Unknown,MTD-22119CB2427,FALSE
67,02-07-2026 02:25,1770431119,135.5,13,-2,0,51,1:18,0,0,1363,1:18,1363,1:18,湯浅,Unknown,MTD-22119CB2427,FALSE
66,02-07-2026 02:25,1770431103,127.7,23,-1,0,74,12:36,0,0,2023,12:36,2023,12:36,湯浅,Unknown,MTD-22119CB2427,FALSE
65,02-07-2026 02:24,1770431087,123.1,26,-4,0,74,12:18,0,0,1744,12:18,1744,12:18,湯浅,Unknown,MTD-22119CB2427,FALSE
64,02-07-2026 02:24,1770431080,116.9,24,-5,0,66,12:18,0,0,1631,12:18,1631,12:18,湯浅,Unknown,MTD-22119CB2427,FALSE
63,02-07-2026 02:23,1770431012,136.3,23,1,0,82,12:50,0,0,3225,12:50,3225,12:50,風見,Kenta,MTD-22119CB2427,FALSE
