PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
26,2026/2/11,3,3,安田,Right,"Sakaguchi, Yuta",Right,2,1,1,Curveball,StrikeCalled,,,103,
27,2026/2/11,3,4,安田,Right,"Sakaguchi, Yuta",Right,2,1,2,Fastball,FoulBallFieldable,,,136,
28,2026/2/11,3,5,安田,Right,"Sakaguchi, Yuta",Right,2,1,2,Slider,StrikeCalled,Strikeout,,119,
29,2026/2/11,1,1,安田,Right,"Kawajiri, Yuito",Right,0,0,0,Fastball,FoulBallFieldable,,,133,
30,2026/2/11,1,2,安田,Right,"Kawajiri, Yuito",Right,0,0,1,ChangeUp,FoulBallFieldable,,,95,
31,2026/2/11,1,3,安田,Right,"Kawajiri, Yuito",Right,0,0,2,Fastball,BallCalled,,,138,
32,2026/2/11,1,4,安田,Right,"Kawajiri, Yuito",Right,0,1,2,Fastball,StrikeSwinging,Strikeout,,138,
33,2026/2/11,2,1,安田,Right,"Okoshi, Rui",Right,1,0,0,Slider,StrikeCalled,,,115,
34,2026/2/11,2,2,安田,Right,"Okoshi, Rui",Right,1,0,1,Fastball,InPlay,Out,GroundBall,135,
1,2026/2/11,1,1,宮城,Left,"Izakura, Yuto",Left,0,0,0,Cutter,BallCalled,,,127,
2,2026/2/11,1,2,宮城,Left,"Izakura, Yuto",Left,0,1,0,Fastball,StrikeSwinging,,,140,
3,2026/2/11,1,3,宮城,Left,"Izakura, Yuto",Left,0,1,1,Fastball,BallCalled,,,140,
4,2026/2/11,1,4,宮城,Left,"Izakura, Yuto",Left,0,2,1,Cutter,BallCalled,,,130,
5,2026/2/11,1,5,宮城,Left,"Izakura, Yuto",Left,0,3,1,Cutter,InPlay,Out,FlyBall,129,
6,2026/2/11,2,1,宮城,Left,"Iwasaki, Ryo",Right,1,0,0,Splitter,StrikeCalled,,,134,
7,2026/2/11,2,2,宮城,Left,"Iwasaki, Ryo",Right,1,0,1,Splitter,BallCalled,,,132,
8,2026/2/11,2,3,宮城,Left,"Iwasaki, Ryo",Right,1,1,1,Splitter,BallCalled,,,130,
9,2026/2/11,2,4,宮城,Left,"Iwasaki, Ryo",Right,1,2,1,Fastball,BallCalled,,,141,
10,2026/2/11,2,5,宮城,Left,"Iwasaki, Ryo",Right,1,3,1,Fastball,InPlay,Out,FlyBall,138,
11,2026/2/11,3,1,宮城,Left,"Fukumoto, Seiya",Left,2,0,0,Fastball,BallCalled,,,140,
12,2026/2/11,3,2,宮城,Left,"Fukumoto, Seiya",Left,2,1,0,Cutter,StrikeCalled,,,128,
13,2026/2/11,3,3,宮城,Left,"Fukumoto, Seiya",Left,2,1,1,Cutter,BallCalled,,,129,
14,2026/2/11,3,4,宮城,Left,"Fukumoto, Seiya",Left,2,2,1,Fastball,StrikeCalled,,,136,
15,2026/2/11,3,5,宮城,Left,"Fukumoto, Seiya",Left,2,2,2,Fastball,InPlay,Single,FlyBall,139,
16,2026/2/11,4,1,宮城,Left,"Shimo, Yuta",Right,2,0,0,Fastball,FoulBallFieldable,,,138,1
17,2026/2/11,4,2,宮城,Left,"Shimo, Yuta",Right,2,0,1,Cutter,BallCalled,,,131,1
18,2026/2/11,4,3,宮城,Left,"Shimo, Yuta",Right,2,1,1,Fastball,BallCalled,,,136,1
19,2026/2/11,4,4,宮城,Left,"Shimo, Yuta",Right,2,2,1,Cutter,FoulBallFieldable,,,129,1
20,2026/2/11,4,5,宮城,Left,"Shimo, Yuta",Right,2,2,2,ChangeUp,BallCalled,,,130,1
21,2026/2/11,4,6,宮城,Left,"Shimo, Yuta",Right,2,3,2,Splitter,InPlay,Out,GroundBall,131,1
22,2026/2/11,1,1,宮城,Left,"Hosotani, Shunsuke",Left,0,0,0,Fastball,StrikeCalled,,,140,
23,2026/2/11,1,2,宮城,Left,"Hosotani, Shunsuke",Left,0,0,1,Fastball,FoulBallFieldable,,,142,
24,2026/2/11,1,3,宮城,Left,"Hosotani, Shunsuke",Left,0,0,2,Fastball,BallCalled,,,141,
25,2026/2/11,1,4,宮城,Left,"Hosotani, Shunsuke",Left,0,1,2,Cutter,FoulBallFieldable,,,130,
26,2026/2/11,1,5,宮城,Left,"Hosotani, Shunsuke",Left,0,1,2,Fastball,BallCalled,,,141,
27,2026/2/11,1,6,宮城,Left,"Hosotani, Shunsuke",Left,0,2,2,Cutter,StrikeSwinging,Strikeout,,128,
28,2026/2/11,2,1,宮城,Left,"Kurosu, Shintaro",Left,1,0,0,Cutter,StrikeCalled,,,127,
29,2026/2/11,2,2,宮城,Left,"Kurosu, Shintaro",Left,1,0,1,Cutter,BallCalled,,,127,
30,2026/2/11,2,3,宮城,Left,"Kurosu, Shintaro",Left,1,1,1,Fastball,StrikeCalled,,,139,
31,2026/2/11,2,4,宮城,Left,"Kurosu, Shintaro",Left,1,1,2,Fastball,InPlay,Error,GroundBall,139,
32,2026/2/11,3,1,宮城,Left,"Nakamura, Rioto",Right,1,0,0,Cutter,StrikeCalled,,,,1
33,2026/2/11,3,2,宮城,Left,"Nakamura, Rioto",Right,1,0,1,ChangeUp,BallCalled,,,,1
34,2026/2/11,3,3,宮城,Left,"Nakamura, Rioto",Right,1,1,1,Fastball,StrikeSwinging,,,,1
35,2026/2/11,3,4,宮城,Left,"Nakamura, Rioto",Right,1,1,2,Fastball,InPlay,Single,GroundBall,140,1
